                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                 1.5274,                0.94786,                 1.4236,                      0,                      0,                      0,                      0,                      0,                 176.12,                      0,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.6092,                 1.0568,                 1.6197,                      0,                      0,                      0,                      0,                      0,                    131,                      0,               0.001208,               0.001208,               0.001208
                     43,                 1.5561,                0.95431,                 1.4771,                      0,                      0,                      0,                      0,                      0,                 135.19,                      0,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.5422,                 1.0355,                 1.5293,                      0,                      0,                      0,                      0,                      0,                 153.67,                      0,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5405,                0.99374,                 1.4849,                      0,                      0,                      0,                      0,                      0,                 180.29,                      0,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6023,                 1.0819,                 1.6178,                      0,                      0,                      0,                      0,                      0,                 176.25,                      0,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5555,                0.89844,                 1.4197,                      0,                      0,                      0,                      0,                      0,                 176.25,                      0,               0.001109,               0.001109,               0.001109
                     48,                 1.5774,                0.91236,                 1.4167,                      0,                      0,                      0,                      0,                      0,                 177.27,                      0,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5403,                  0.914,                 1.4164,                      0,                      0,                      0,                      0,                      0,                 200.83,                      0,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5344,                0.95339,                 1.4433,                      0,                      0,                      0,                      0,                      0,                 229.33,                      0,              0.0010496,              0.0010496,              0.0010496
                     51,                  1.492,                0.90511,                  1.501,                      0,                      0,                      0,                      0,                      0,                 245.42,                      0,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5506,                0.95866,                 1.5685,                      0,                      0,                      0,                      0,                      0,                 245.42,                      0,                0.00101,                0.00101,                0.00101
                     53,                 1.5078,                0.91877,                 1.5006,                      0,                      0,                      0,                      0,                      0,                  237.5,                      0,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5088,                0.90126,                 1.4379,                      0,                      0,                      0,                      0,                      0,                 231.96,                      0,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.4381,                0.79722,                 1.3586,                      0,                      0,                      0,                      0,                      0,                 231.42,                      0,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.488,                0.80613,                 1.3623,                      0,                      0,                      0,                      0,                      0,                 224.33,                      0,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4547,                0.84162,                 1.3988,                      0,                      0,                      0,                      0,                      0,                 224.33,                      0,               0.000911,               0.000911,               0.000911
                     58,                 1.5241,                0.88729,                 1.4594,                      0,                      0,                      0,                      0,                      0,                 192.46,                      0,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5982,                 1.0098,                 1.6228,                      0,                      0,                      0,                      0,                      0,                 190.21,                      0,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.4722,                0.86023,                 1.4493,                      0,                      0,                      0,                      0,                      0,                 220.38,                      0,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.439,                0.82575,                 1.4168,                      0,                      0,                      0,                      0,                      0,                 242.58,                      0,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.4548,                0.82722,                 1.3826,                      0,                      0,                      0,                      0,                      0,                 226.83,                      0,               0.000812,               0.000812,               0.000812
                     63,                  1.473,                0.81019,                 1.3684,                      0,                      0,                      0,                      0,                      0,                 226.83,                      0,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4059,                0.77158,                 1.3894,                      0,                      0,                      0,                      0,                      0,                 205.67,                      0,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4362,                0.80123,                   1.42,                      0,                      0,                      0,                      0,                      0,                 166.21,                      0,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.4345,                0.84233,                 1.5159,                      0,                      0,                      0,                      0,                      0,                  151.9,                      0,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.4472,                0.79133,                 1.3878,                      0,                      0,                      0,                      0,                      0,                 155.96,                      0,               0.000713,               0.000713,               0.000713
                     68,                 1.4351,                0.79608,                 1.3959,                      0,                      0,                      0,                      0,                      0,                 155.96,                      0,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4297,                 0.7622,                 1.3559,                      0,                      0,                      0,                      0,                      0,                 176.48,                      0,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.3731,                0.74496,                 1.3148,                      0,                      0,                      0,                      0,                      0,                 196.52,                      0,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4075,                0.78546,                 1.3955,                      0,                      0,                      0,                      0,                      0,                 213.96,                      0,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.3653,                0.75363,                 1.2732,                      0,                      0,                      0,                      0,                      0,                 210.04,                      0,               0.000614,               0.000614,               0.000614
                     73,                 1.3539,                0.71991,                 1.3073,                      0,                      0,                      0,                      0,                      0,                 210.04,                      0,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.3856,                0.73405,                 1.3531,                      0,                      0,                      0,                      0,                      0,                  201.5,                      0,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.3984,                0.74148,                 1.2907,                      0,                      0,                      0,                      0,                      0,                    204,                      0,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.3713,                0.72796,                 1.4089,                      0,                      0,                      0,                      0,                      0,                 215.21,                      0,              0.0005348,              0.0005348,              0.0005348
                     77,                   1.34,                0.71778,                 1.3679,                      0,                      0,                      0,                      0,                      0,                 238.21,                      0,               0.000515,               0.000515,               0.000515
                     78,                 1.2403,                 0.7114,                 1.2727,                      0,                      0,                      0,                      0,                      0,                 253.12,                      0,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.3432,                0.74484,                 1.2977,                      0,                      0,                      0,                      0,                      0,                 253.12,                      0,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.3024,                0.70632,                 1.2848,                      0,                      0,                      0,                      0,                      0,                 243.46,                      0,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.3695,                0.73234,                 1.3222,                      0,                      0,                      0,                      0,                      0,                 234.75,                      0,              0.0004358,              0.0004358,              0.0004358
